"Position","Candidate Name","Votes","Votes %","Party"
1,Dhotre Sanjay Shamrao,456472,46.7%,Bharatiya Janta Party
2,Patel Hidayat Ulla Barkat Ulla,253356,25.9%,Indian National Congress
3,Ambedkar Prakash Yashwant,238776,24.4%,Bharipa Bahujan Mahasangh
4,Ajay Panjabrao Hingankar,8076,0.8%,Aam Aadmi Party
5,Bhai B.C. Kamble,7858,0.8%,Bahujan Samaj Party
6,Shaikh Hameed Imam,3991,0.4%,Bahujan Mukti Party
7,Sandip Kisanrao Wankhede,3756,0.4%,Independent
