"Position","Candidate Name","Votes","Votes %","Party"
1,Dr. Ratna De (NAG),614312,45.5%,All India Trinamool Congress
2,Pradip Saha,425228,31.5%,Communist Party Of India (MARXIST)
3,Dr. Chandan Mitra,221271,16.4%,Bharatiya Janta Party
4,Pritam Ghosh,42226,3.1%,Indian National Congress
5,Sajal Adhikari,9152,0.7%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
6,Paban Mazumder,7682,0.6%,Socialist Unity Centre Of India (COMMUNIST)
7,Vijay Kumar Mahato,5519,0.4%,Bahujan Samaj Party
8,Sanghamitra Mukherjee,3766,0.3%,Rashtriya Janasachetan Party (R.J.P.)
9,Shukchand Murmu,3197,0.2%,Jharkhand Disom Party
