"Position","Candidate Name","Votes","Votes %","Party"
1,Arjunlal Meena,660373,55.3%,Bharatiya Janta Party
2,Raghuvir Singh,423611,35.5%,Indian National Congress
3,Meghraj Tawar,33743,2.8%,Communist Party Of India
4,Laxman Bhil,20690,1.7%,Bahujan Samaj Party
5,Dr. Velaram Meena,11449,1.0%,Aam Aadmi Party
6,Laxmilal Gameti,6680,0.6%,Socialist Party (India)
7,Gotam Lal Meena,5442,0.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Prabhu Lal Meena,4529,0.4%,Bahujan Mukti Party
