"Position","Candidate Name","Votes","Votes %","Party"
1,B. Sreeramulu,534406,51.1%,Bharatiya Janta Party
2,N.Y. Hanumantappa,449262,43.0%,Indian National Congress
3,R. Ravinayaka,12613,1.2%,Janata Dal (Secular)
4,A. Devdas,8486,0.8%,Socialist Unity Centre Of India (COMMUNIST)
5,Malagi Shivakumar Giriyappa,6038,0.6%,Aam Aadmi Party
6,N.R. Mallayya Swamy,5206,0.5%,Independent
7,B. Ramudu (ADDIGERI RAMANNA),4557,0.4%,Bahujan Samaj Party
8,N.B. Krishnappa Nayaka,3888,0.4%,Independent
9,K. Raghavendra,3501,0.3%,Pyramid Party Of India
10,Doddamani Prasad,2456,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,Comrade S. Bheemappa,2042,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
12,G. Nataraja,1997,0.2%,Karunaadu Party
