"Position","Candidate Name","Votes","Votes %","Party"
1,S.S.Ahluwalia,488257,42.8%,Bharatiya Janta Party
2,Bhai Chung Bhutia,291018,25.5%,All India Trinamool Congress
3,Saman Pathak (SURAJ),167186,14.6%,Communist Party Of India (MARXIST)
4,Sujay Ghatak,90076,7.9%,Indian National Congress
5,Mahendra P. Lama,55767,4.9%,Independent
6,Rabindra Roy Basunia,6100,0.5%,Independent
7,Kakali Majumdar (ROY),6040,0.5%,Bahujan Samaj Party
8,Arun Kumar Agarwal,5449,0.5%,Independent
9,Goutam Bhattacharya,3993,0.3%,Socialist Unity Centre Of India (COMMUNIST)
10,Sunil Pandit,3043,0.3%,Rashtriya Janasachetan Party (R.J.P.)
11,Nima Lama,2906,0.3%,Gorkha Rashtriya Congress
12,Lalit Singha,2100,0.2%,Bahujan Mukti Party
13,Niranjan Saha,2029,0.2%,Amra Bangalee
