"Position","Candidate Name","Votes","Votes %","Party"
1,Prasun Banerjee,488461,43.4%,All India Trinamool Congress
2,Sridip Bhattacharya,291505,25.9%,Communist Party Of India (MARXIST)
3,George Baker,248120,22.0%,Bharatiya Janta Party
4,Manoj Kumar Pandey,63254,5.6%,Indian National Congress
5,Sonia Das,4441,0.4%,Independent
6,Shib Chandra Ram,3241,0.3%,Bahujan Samaj Party
7,Gobarddhan Manna,2680,0.2%,Indian Unity Centre
8,Dinesh Kumar Sharma,2343,0.2%,Independent
9,Suraj Narayan Singh,2186,0.2%,Aam Aadmi Party
10,Sanjib Sarkar,2105,0.2%,Independent
11,Mrityunjay Sarkar,2034,0.2%,Independent
12,Soumitra Sengupta,1814,0.2%,Socialist Unity Centre Of India (COMMUNIST)
13,Sajal Kumar Das,1572,0.1%,Independent
14,Mohammad Sirajuddin Sekh,1079,0.1%,Gareeb Aadmi Party
15,Sukumar Baral,635,0.1%,Bahujan Mukti Party
