"Position","Candidate Name","Votes","Votes %","Party"
1,Bhairon Prasad Mishra,342066,39.9%,Bharatiya Janta Party
2,R. K. Singh Patel,226278,26.4%,Bahujan Samaj Party
3,Bal Kumar Patel Alias Rajkumar,189730,22.1%,Samajwadi Party
4,Vivek Kumar Singh,36650,4.3%,Indian National Congress
5,Ramchandra Saras,15156,1.8%,Communist Party Of India
6,Vijay Prakash,7140,0.8%,Independent
7,Amar Singh Rathaur,6439,0.8%,Aam Aadmi Party
8,Narendra Kumar Shrivastava,5115,0.6%,Independent
9,Vishvambhar Nath,4755,0.6%,Bahujan Mukti Party
10,Mo. Sageer,3201,0.4%,Peace Party
11,Susheela Singh,2931,0.3%,Bhartiya Shakti Chetna Party
12,Prabhakar Prasad,2605,0.3%,Bharatiya Kisan Sena Loktantrik
13,Pappu Yadav,2436,0.3%,Janata Dal (United)
