x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Iqbal Ahmed Saradgi,"312,601",37.8%,Indian National Congress, AC View
2,2,Basawaraj Patil Sedam,"255,130",30.8%,Bharatiya Janta Party, AC View
3,3,Vithal Heroor,"189,100",22.9%,Janata Dal (Secular), AC View
4,4,Suryakant Nimbalkar,"26,724",3.2%,Bahujan Samaj Party, AC View
5,5,Sanganna,"15,212",1.8%,Independent, AC View
6,6,Arun Kumar Chandrashekara Patil,"7,157",0.9%,Kannada Nadu Party, AC View
7,7,Bhagavanreddy B,"6,749",0.8%,Independent, AC View
8,8,Hamid Pasha Sarmast,"4,268",0.5%,Muslim League Kerala State Committee, AC View
9,9,Basawanth Rao Revansiddappa Sheelwanth,"3,900",0.5%,All India Forward Bloc, AC View
10,10,Sandesh C Bandak,"3,671",0.4%,Urs Samyuktha Paksha, AC View
11,11,Umesh Havanoor,"3,382",0.4%,Samajwadi Party, AC View
