x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Naranbhai  Rathwa,"246,855",44.4%,Indian National Congress, AC View
2,2,Ramsinh Rathwa,"210,616",37.8%,Bharatiya Janta Party, AC View
3,3,Tadvi Dineshbhai Balubhai,"32,634",5.9%,Bharatiya Navshakti Party, AC View
4,4,Rathwa Raysingbhai Bhangdabhai,"23,113",4.2%,Independent, AC View
5,5,Kanubhai Tadvi,"22,728",4.1%,Bahujan Samaj Party, AC View
6,6,Naranbhai Rathwa,"12,186",2.2%,Independent, AC View
7,7,Tadvi Ramdas Kantibhai,"8,384",1.5%,Samajwadi Party, AC View
