x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Baju Ban Riyan,"414,230",66.9%,Communist Party Of India (MARXIST), AC View
2,2,Pulin Bihari Dewan,"103,494",16.7%,Bharatiya Janta Party, AC View
3,3,Jadu Mohan Tripura,"76,927",12.4%,Indian National Congress, AC View
4,4,Dija Raj Tripura,"14,027",2.3%,Independent, AC View
5,5,Karna Dhan Chakma,"7,941",1.3%,Amara Bengali, AC View
6,6,Charai Muni Jamatia,"6,475",1.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
