x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dr. Shafiqurrahman Barq,"218,079",33.3%,Samajwadi Party, AC View
2,2,Chandra Vijay Singh Urf Baby Raja,"182,239",27.8%,Bharatiya Janta Party, AC View
3,3,Iftakar Mohammad Khan,"150,616",23.0%,Bahujan Samaj Party, AC View
4,4,Dr. Masood Ahmad,"42,018",6.4%,National Loktantrik Party, AC View
5,5,Parmeshwar Lal,"38,170",5.8%,Independent, AC View
6,6,Mohd. Salim,"6,764",1.0%,Independent, AC View
7,7,Asha Pal,"5,479",0.8%,Labour Party (Secular), AC View
8,8,Rajesh Saini,"2,860",0.4%,Shiv Sena, AC View
9,9,Mohd. Nasir,"2,212",0.3%,Indian National Lok Dal, AC View
10,10,Brahm Dev,"2,156",0.3%,Independent, AC View
11,11,Faeem Akhtar,"1,548",0.2%,Independent, AC View
12,12,Nutan Vijay,"1,168",0.2%,Independent, AC View
13,13,Jay Prakash,989,0.2%,Independent, AC View
14,14,Azam Ansari,877,0.1%,Independent, AC View
