x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,P. K. Vasudevan Nair,"286,057",37.6%,Communist Party Of India, AC View
2,2,V S Sivakumar,"231,454",30.4%,Indian National Congress, AC View
3,3,O Rajagopal,"228,052",29.9%,Bharatiya Janta Party, AC View
4,4,Adv K S Rajmohan,"3,831",0.5%,Bahujan Samaj Party, AC View
5,5,Adv G Muraleedharan Nadar,"3,037",0.4%,Independent, AC View
6,6,Selvaraj,"2,480",0.3%,Independent, AC View
7,7,V S Gireesh Kumar,"2,158",0.3%,All Kerala M.G.R. Dravida Munnetra Party, AC View
8,8,Adv B K Rajagopal,"1,558",0.2%,Independent, AC View
9,9,Babington,"1,350",0.2%,Independent, AC View
10,10,Cherian V T,"1,122",0.1%,Independent, AC View
11,11,Francis Albert,873,0.1%,Independent, AC View
12,12,Adv V Pratap Singh,617,0.1%,Independent, AC View
13,13,T C Balakrishnan Nair,534,0.1%,Independent, AC View
14,14,Adv I Justus Nadar,382,0.1%,Independent, AC View
15,15,Noushad,324,0.0%,Independent, AC View
