x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Manabendra Shah,"267,395",47.6%,Bharatiya Janta Party, AC View
2,2,Vijay Bahuguna,"249,949",44.5%,Indian National Congress, AC View
3,3,Husain Ahmed,"11,997",2.1%,Samajwadi Party, AC View
4,4,Trivendra Singh,"8,304",1.5%,Uttarakhand Kranti Dal, AC View
5,5,Gyanendera Singh Negi,"6,805",1.2%,Independent, AC View
6,6,Dr. Binod Kumar,"5,195",0.9%,Independent, AC View
7,7,Mahabeer Singh,"4,056",0.7%,Independent, AC View
8,8,Chandar Singh,"1,834",0.3%,Independent, AC View
9,9,Prema Upreti,"1,741",0.3%,Rashtriya Lok Dal, AC View
10,10,Ramgopal Nautiyal,"1,444",0.3%,Akhil Bharat Hindu Mahasabha, AC View
11,11,Sundeyshwar Kumar Sahni,"1,416",0.3%,Samata Party, AC View
12,12,Gajanand Giri,"1,292",0.2%,Independent, AC View
