x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,R.L. Jalappa,"376,204",40.5%,Indian National Congress, AC View
2,2,Shashi Kumar,"316,182",34.0%,Janata Dal (Secular), AC View
3,3,Ashok Krishnappa,"191,766",20.6%,Janata Dal (United), AC View
4,4,Suresh D R,"21,432",2.3%,Independent, AC View
5,5,Narayana Swamy D N ( KWALITY),"15,964",1.7%,Kannada Nadu Party, AC View
6,6,Veerappa,"9,580",1.0%,Independent, AC View
