x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Suryakanta Patil,"327,944",45.1%,Nationalist Congress Party, AC View
2,2,Shivaji Gyanbarao Mane,"315,399",43.4%,Shiv Sena, AC View
3,3,Rathod Madhavi Parshuram,"29,662",4.1%,Bahujan Samaj Party, AC View
4,4,Rathod Sanjaykumar Tulshiram,"24,971",3.4%,Bharipa Bahujan Mahasangh, AC View
5,5,Adv. Punjabrao Ramdhan Chavan,"12,651",1.7%,Independent, AC View
6,6,Uttamrao Dagduji Bhagat,"11,040",1.5%,Prabuddha Republican Party, AC View
7,7,Chavan Govind Bhiku,"6,658",0.9%,Independent, AC View
