x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Pradeep Gandhi,"314,520",47.3%,Bharatiya Janta Party, AC View
2,2,Devvrat Singh,"300,197",45.2%,Indian National Congress, AC View
3,3,Santram Gond (CHHEDIYA),"20,419",3.1%,Independent, AC View
4,4,Mochi Ram Gond,"13,326",2.0%,Bahujan Samaj Party, AC View
5,5,Aaju Ram Chandravanshi,"7,415",1.1%,Independent, AC View
6,6,Roman Kumar Sahu,"5,268",0.8%,Samajwadi Party, AC View
7,7,Smt. Pushpa Nagdev,"4,790",0.7%,Republican Party Of India (KHOBRAGADE), AC View
