x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Vishnudeo Sai,"329,057",50.8%,Bharatiya Janta Party, AC View
2,2,Rampukar Singh,"254,814",39.3%,Indian National Congress, AC View
3,3,Kripa Shankar Bhagat,"27,616",4.3%,Bahujan Samaj Party, AC View
4,4,Govind Singh Neti,"21,271",3.3%,Gondvana Gantantra Party, AC View
5,5,Amrit Tirkey,"15,677",2.4%,Samajwadi Party, AC View
