x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Jaswant Singh Bishnoi,"434,352",50.3%,Bharatiya Janta Party, AC View
2,2,Badri Ram Jakhar,"391,857",45.4%,Indian National Congress, AC View
3,3,Sabir Gouri,"10,363",1.2%,Independent, AC View
4,4,Ravi Garg,"8,974",1.0%,Jharkhand Party, AC View
5,5,Shaitan Singh Chouhan,"4,682",0.5%,Independent, AC View
6,6,Devilal Bheel,"3,827",0.4%,Independent, AC View
7,7,Mahmuda Begum Abbasi,"3,118",0.4%,Independent, AC View
8,8,Vijay Krishan Sharma,"2,684",0.3%,Independent, AC View
9,9,Dungarlal Meghwal,"1,658",0.2%,Independent, AC View
10,10,Leela Devi,"1,592",0.2%,Independent, AC View
11,11,Badri Ram,970,0.1%,Independent, AC View
12,12,Pukhraj Meghwal,850,0.1%,Independent, AC View
