x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Tarachand Sahu,"382,757",50.3%,Bharatiya Janta Party, AC View
2,2,Bhupesh Baghel,"321,289",42.2%,Indian National Congress, AC View
3,3,Shri Mataji,"17,935",2.4%,Bahujan Samaj Party, AC View
4,4,Manharan Singh Chhedaiha,"17,928",2.4%,Independent, AC View
5,5,Bharat Bhushan Pandey,"8,078",1.1%,Independent, AC View
6,6,Balvinder Singh,"3,462",0.5%,Independent, AC View
7,7,R. D. Jogansh,"2,209",0.3%,Independent, AC View
8,8,Kiran Noni Urf Kiran Beti,"2,185",0.3%,Indian Justice Party, AC View
9,9,Shiekh Rasool Alias Dada Bhai,"2,155",0.3%,Samajwadi Party, AC View
10,10,Ashok Kumar Rajput,"1,988",0.3%,Independent, AC View
11,11,Arun Joshi,"1,829",0.2%,Independent, AC View
