x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Madhu Yakshi Goud,"442,142",56.6%,Indian National Congress, AC View
2,2,Syed Yousuf Ali,"304,271",38.9%,Telugu Desam, AC View
3,3,Yedla Ramu,"21,133",2.7%,Bahujan Samaj Party, AC View
4,4,Baisa Ramadasu,"14,893",1.9%,Independent, AC View
