x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Pawan Kumar Bansal,"139,880",51.8%,Indian National Congress, AC View
2,2,Satya Pal Jain,"94,632",35.1%,Bharatiya Janta Party, AC View
3,3,Harmohan Dhawan,"17,762",6.6%,Indian National Lok Dal, AC View
4,4,Hem Raj,"6,203",2.3%,Bahujan Samaj Party, AC View
5,5,Surinder Pal,"3,187",1.2%,Independent, AC View
6,6,Rajinder Bansal,"2,045",0.8%,Independent, AC View
7,7,Dharam Paul Sharma,"1,232",0.5%,Independent, AC View
8,8,Arvind Jain,718,0.3%,Independent, AC View
9,9,Vinay Kumar,515,0.2%,Bharatiya Surajya Manch, AC View
10,10,Mukesh Kumar,488,0.2%,Independent, AC View
11,11,Rekha Sharma,481,0.2%,Independent, AC View
12,12,Ghanshyam Lal,376,0.1%,Independent, AC View
13,13,Gurcharan Singh,312,0.1%,Independent, AC View
14,14,Pushpa Kumar Singh,269,0.1%,Indian Justice Party, AC View
15,15,Mohammad Ibrahim,213,0.1%,Apna Dal, AC View
16,16,Bhupinder Pal,188,0.1%,Independent, AC View
17,17,Daulat Kuldeep Singh,169,0.1%,Independent, AC View
