x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Chegondi Venkata Harirama Jogaiah,"402,761",52.6%,Indian National Congress, AC View
2,2,Uppalapati Venkatakrishnam Raju,"338,349",44.2%,Bharatiya Janta Party, AC View
3,3,Alluri Yugandhara  Raju,"27,427",3.6%,Pyramid Party Of India, AC View
