x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sanat Kumar Mandal,"450,043",55.8%,Revolutionary Socialist Party, AC View
2,2,Asit Baran Thakur,"219,522",27.2%,Bharatiya Janta Party, AC View
3,3,Tarun Kanti Naskar,"90,798",11.3%,Independent, AC View
4,4,Sukriti Ranjan Biswas,"21,711",2.7%,Republican Party Of India, AC View
5,5,Sanat Kumar Dhali,"14,340",1.8%,Independent, AC View
6,6,Meghnath Halder,"9,920",1.2%,Bahujan Samaj Party, AC View
