x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Khandelwal Vijay Kumar (MUNNI BHAIA),"288,007",52.6%,Bharatiya Janta Party, AC View
2,2,Rajendra Jaiswal,"130,467",23.8%,Indian National Congress, AC View
3,3,Dr. Sunilam,"74,391",13.6%,Samajwadi Party, AC View
4,4,Gunta Lokhande,"15,649",2.9%,Independent, AC View
5,5,Bindiya Dashryamkar,"13,922",2.5%,Bahujan Samaj Party, AC View
6,6,Meera Uikey,"11,368",2.1%,Gondvana Gantantra Party, AC View
7,7,Shamim Modi,"9,428",1.7%,Samajwadi Jan Parishad, AC View
8,8,Ashok Sahu ( MAHARAJ),"4,470",0.8%,Independent, AC View
