x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kishanbhai Vestabhai Patel,"321,769",46.6%,Indian National Congress, AC View
2,2,Chaudhari Manibhai Ramjibhai,"277,283",40.2%,Bharatiya Janta Party, AC View
3,3,Delkar Nareshbhai Sanjibhai,"58,184",8.4%,Bharatiya Navshakti Party, AC View
4,4,Patel Dakshesbhai Hirabhai,"22,103",3.2%,Samajwadi Party, AC View
5,5,Patel Shankarbhai Chhaganbhai,"10,643",1.5%,Bahujan Samaj Party, AC View
