x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kuppusami. C,"570,122",62.3%,Dravida Munetra Kazhagam, AC View
2,2,Sukumar Nambiar. M N,"316,583",34.6%,Bharatiya Janta Party, AC View
3,3,Gunasekaran. Muthu,"4,512",0.5%,Janata Dal (United), AC View
4,4,Umakanthan. R,"3,820",0.4%,Bahujan Samaj Party, AC View
5,5,Manivannan. C,"2,375",0.3%,Independent, AC View
6,6,Kumarasamy. S,"2,071",0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
7,7,Parimalam. V,"1,898",0.2%,Independent, AC View
8,8,Sethuraman. R D,"1,671",0.2%,Jharkhand Party, AC View
9,9,Mathi. T,"1,602",0.2%,Independent, AC View
10,10,Jainalufthin. J,"1,494",0.2%,Independent, AC View
11,11,Sreenivasulu. V,"1,424",0.2%,Samajwadi Party, AC View
12,12,Kuppusamy. V,"1,230",0.1%,Independent, AC View
13,13,Nowshath Ali. M K,"1,039",0.1%,Independent, AC View
14,14,Balamurugan. B,963,0.1%,Independent, AC View
15,15,Daveson. T R,706,0.1%,Independent, AC View
16,16,Valsala. Tmt,562,0.1%,Rashtriya Lok Dal, AC View
17,17,Rajasekar. R,530,0.1%,Independent, AC View
18,18,Elangovan. R,494,0.1%,Independent, AC View
19,19,Marimuthu. P,493,0.1%,Independent, AC View
20,20,Jaganathan. R,424,0.0%,Independent, AC View
21,21,Sendhilkumar. R,415,0.0%,Independent, AC View
22,22,Devadoss. M,409,0.0%,Independent, AC View
23,23,Thirumoorthy. P I,370,0.0%,Independent, AC View
24,24,Janakiraman. C,360,0.0%,Independent, AC View
25,25,Murugan. S,298,0.0%,Independent, AC View
