x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Rakesh Singh,"311,646",54.4%,Bharatiya Janta Party, AC View
2,2,Vishwanath Dubey,"212,115",37.0%,Indian National Congress, AC View
3,3,Braj Kishore Kewat  ( MANJHI),"16,946",3.0%,Bahujan Samaj Party, AC View
4,4,Swami Suresh Verma,"6,857",1.2%,Independent, AC View
5,5,Rajesh  Dixit,"5,528",1.0%,Samajwadi Party, AC View
6,6,Shail Bharti,"4,595",0.8%,Independent, AC View
7,7,Ad. Sunil Shukla,"3,683",0.6%,Gondvana Gantantra Party, AC View
8,8,Bhai Rakesh ( PRAMUKH DHAI AKSHAR)  SONKAR,"2,858",0.5%,Independent, AC View
9,9,Riyaz Khan,"2,718",0.5%,Independent, AC View
10,10,Advocate Prem Prakash Ambedkar,"1,324",0.2%,Independent, AC View
11,11,Gurucharan Singh Bedi ( TEETU BHAI ),"1,073",0.2%,Independent, AC View
12,12,Praveen,864,0.2%,Independent, AC View
13,13,Pt. Suraj Prasad Mishr ( RTD. SHI.),640,0.1%,Savarn Samaj Party, AC View
14,14,Arvind  Mahobiya,548,0.1%,Independent, AC View
