x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Bir Singh Mahato,"341,057",49.1%,All India Forward Bloc, AC View
2,2,Shantiram Mahato,"195,339",28.1%,Indian National Congress, AC View
3,3,Niyati Mahato,"105,127",15.1%,All India Trinamool Congress, AC View
4,4,Mihir Kumar Rajwar,"14,021",2.0%,Bahujan Samaj Party, AC View
5,5,Pranati Bhattacharya,"13,020",1.9%,Independent, AC View
6,6,Ajoy Kumar Tudu,"8,762",1.3%,Jharkhand Disom Party, AC View
7,7,Nilkamal Mahato,"5,699",0.8%,Independent, AC View
8,8,Gomasta Prasad Soren,"3,664",0.5%,Jharkhand Party, AC View
9,9,Thakur Das Kisku,"3,536",0.5%,Amara Bengali, AC View
10,10,Anil Kumar Choudhury,"3,111",0.4%,Janata Dal (United), AC View
11,11,Dhiren Chandra Rajak,"2,883",0.4%,Jharkhand Party (NOREN), AC View
