x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Solanki Bharatsinh Madhavsinh,"307,762",52.0%,Indian National Congress, AC View
2,2,Jayprakash Vaghajibhai Patel (BABALBHAI),"246,677",41.7%,Bharatiya Janta Party, AC View
3,3,Solanki Bharatbhai Ravabhai,"15,340",2.6%,Independent, AC View
4,4,Vijay Danial  Macwan (ADVOCATE),"6,686",1.1%,Bahujan Samaj Party, AC View
5,5,Jayantbhai Ramanbhai Patel (BOSKEY),"6,041",1.0%,Independent, AC View
6,6,Patel Nileshkumar Pravinbhai,"5,404",0.9%,Independent, AC View
7,7,Purohit Laljibhai Ganeshji,"3,330",0.6%,Independent, AC View
