x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Avinash Rai Khanna,"289,815",44.2%,Bharatiya Janta Party, AC View
2,2,Comrade Darshan Singh Mattu,"185,444",28.3%,Communist Party Of India (MARXIST), AC View
3,3,Charanjit Singh Channi,"156,270",23.8%,Bahujan Samaj Party, AC View
4,4,Ajeet Singh Parmar,"7,511",1.1%,Samajwadi Janata Party (RASHTRIYA), AC View
5,5,Kuldip Rai,"6,565",1.0%,Independent, AC View
6,6,Sadhu Singh Saini,"3,883",0.6%,Independent, AC View
7,7,Harmesh Lal Azad,"3,416",0.5%,Independent, AC View
8,8,Gurdev Singh,"2,787",0.4%,Bharatiya Gaon Taj Dal, AC View
