x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Chandradeo Prasad Rajbhar,"201,468",27.9%,Samajwadi Party, AC View
2,2,Bal Krishna,"180,456",25.0%,Bahujan Samaj Party, AC View
3,3,Sudha Rai,"136,794",19.0%,Indian National Congress, AC View
4,4,Bharat Lal Rahi Kushwaha,"53,984",7.5%,Bharatiya Janta Party, AC View
5,5,Akshay Kumar Rajbhar,"52,072",7.2%,Suheldev Bhartiya Samaj Party, AC View
6,6,Atul Kumar Singh Anjan,"30,923",4.3%,Communist Party Of India, AC View
7,7,Siddharth Rai,"18,110",2.5%,Rashtriya Janata Dal, AC View
8,8,Ramesh,"12,263",1.7%,Independent, AC View
9,9,Ziyauddin,"8,336",1.2%,Apna Dal, AC View
10,10,Munnar,"4,116",0.6%,Akhil Bharat Hindu Mahasabha, AC View
11,11,Heshamuddin,"2,803",0.4%,Independent, AC View
12,12,Kaushalendra,"2,303",0.3%,Independent, AC View
13,13,Akhlaq Ahmad Gulshan,"2,077",0.3%,Parivartan Samaj Party, AC View
14,14,Rajendra Kumar Agrawal,"2,026",0.3%,Independent, AC View
15,15,Rama Sankar,"1,993",0.3%,Independent, AC View
16,16,Ram Ashish,"1,736",0.2%,Independent, AC View
17,17,Hemant Kumar,"1,695",0.2%,Bharatiya Republican Paksha, AC View
18,18,Kanhaiya Lal,"1,694",0.2%,Independent, AC View
19,19,Ram Awadh,"1,673",0.2%,Independent, AC View
20,20,Prem Prakash,"1,630",0.2%,Ambedkar Samaj Party, AC View
21,21,Hari Lal,"1,451",0.2%,Independent, AC View
22,22,Ram Prakash,"1,024",0.1%,Independent, AC View
23,23,Ramu Rajbhar,955,0.1%,Independent, AC View
