x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kunwar Jitin Prasad,"220,763",34.8%,Indian National Congress, AC View
2,2,Ram Murti Singh Verma,"138,931",21.9%,Samajwadi Party, AC View
3,3,Satya Pal Singh Yadav,"127,472",20.1%,Bahujan Samaj Party, AC View
4,4,Suresh Kumar Khanna,"103,541",16.3%,Bharatiya Janta Party, AC View
5,5,Moh. Saleem,"7,492",1.2%,Communist Party Of India, AC View
6,6,Ajay Pal,"5,189",0.8%,Parivartan Samaj Party, AC View
7,7,Pramod,"4,503",0.7%,Independent, AC View
8,8,Mahesh Saxena,"3,746",0.6%,Independent, AC View
9,9,D.R Verma,"2,224",0.4%,Apna Dal, AC View
10,10,Ram Rakch Pal,"2,128",0.3%,Labour Party (Secular), AC View
11,11,Surendra Nath,"1,771",0.3%,Independent, AC View
12,12,Desh Raj,"1,690",0.3%,Independent, AC View
13,13,Udit Yadav,"1,605",0.3%,Independent, AC View
14,14,Muneshwar,"1,523",0.2%,Independent, AC View
15,15,Rakesh Kumar,"1,478",0.2%,Independent, AC View
16,15,Ashok,"1,478",0.2%,Independent, AC View
17,17,Dr. Amar Singh Kushwaha,"1,200",0.2%,Independent, AC View
18,18,Ramesh Chandra,"1,172",0.2%,Republican Party Of India, AC View
19,19,Ahivaran Lal,"1,016",0.2%,Independent, AC View
20,20,Ram Sewak,908,0.1%,Ekta Krandi Dal U.P., AC View
21,21,Verendra,888,0.1%,Independent, AC View
22,22,Rajesh Yadav,709,0.1%,Independent, AC View
23,23,Sarnam Singh,692,0.1%,Independent, AC View
24,24,Shri Krishna Pathak,647,0.1%,Independent, AC View
25,25,Sumat Ranjan,603,0.1%,Independent, AC View
26,26,Satya Pal,484,0.1%,Independent, AC View
