x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Lalmuni Chaubey,"205,980",31.7%,Bharatiya Janta Party, AC View
2,2,Dadan Singh,"151,114",23.3%,Independent, AC View
3,3,Shivanand Tiwary,"133,467",20.6%,Rashtriya Janata Dal, AC View
4,4,Shiv Kumar Singh Kushwaha,"75,309",11.6%,Bahujan Samaj Party, AC View
5,5,Shushila Devi,"32,807",5.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
6,6,Ram Ekbal Chaudhari,"16,639",2.6%,Suheldev Bhartiya Samaj Party, AC View
7,7,Tej Narayan Singh,"11,669",1.8%,Communist Party Of India, AC View
8,8,Ranjit Singh,"10,378",1.6%,Samajwadi Party, AC View
9,9,Satendra Singh,"6,831",1.1%,Independent, AC View
10,10,Bisheshwar Pandey,"2,973",0.5%,Independent, AC View
11,11,Lalsa Devi,"1,991",0.3%,Independent, AC View
