x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Vishvendra Singh,"319,904",55.5%,Bharatiya Janta Party, AC View
2,2,Ved Prakash,"208,555",36.2%,Indian National Congress, AC View
3,3,Mandleshwar Singh,"38,723",6.7%,Bahujan Samaj Party, AC View
4,4,Khursheed Ahamad,"3,963",0.7%,Samajwadi Party, AC View
5,5,Dr. Samundra Singh,"3,117",0.5%,Independent, AC View
6,6,Shiv Kumar Singh,"1,495",0.3%,Independent, AC View
7,7,Jaikam Deen,"1,230",0.2%,Independent, AC View
