x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Devarakonda Vittal Rao,"428,764",49.5%,Indian National Congress, AC View
2,2,Yelkoti Yella Reddy,"380,857",44.0%,Telugu Desam, AC View
3,3,Smt. Gundala Vijaya Lakshmi,"25,842",3.0%,Pyramid Party Of India, AC View
4,4,G. Ramchandraiah Yadav,"18,304",2.1%,Bahujan Samaj Party, AC View
5,5,Mohd. Mazher Hussain,"12,783",1.5%,Muslim League Kerala State Committee, AC View
