x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dr. H.T. Sangliana,"473,502",40.9%,Bharatiya Janta Party, AC View
2,2,Jaffer Sharief C K,"443,144",38.3%,Indian National Congress, AC View
3,3,Ibrahim C M,"208,588",18.0%,Janata Dal (Secular), AC View
4,4,Venkatesh M,"11,347",1.0%,Independent, AC View
5,5,Joe Simon,"7,079",0.6%,Kannada Nadu Party, AC View
6,6,Mohamad Ibrahim,"6,878",0.6%,Independent, AC View
7,7,Meer Layaq Hussain,"3,604",0.3%,Independent, AC View
8,8,Uma K,"2,703",0.2%,Independent, AC View
