x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Tejashwini See Ramesh,"584,238",37.7%,Indian National Congress, AC View
2,2,Ramachandra Gowda,"467,575",30.1%,Bharatiya Janta Party, AC View
3,3,H D Devegowda,"462,320",29.8%,Janata Dal (Secular), AC View
4,4,Muniramaiah,"23,350",1.5%,Independent, AC View
5,5,Kumar G S,"14,933",1.0%,Independent, AC View
