x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sajjan Kumar,"855,543",55.1%,Indian National Congress, AC View
2,2,Sahib Singh,"631,753",40.7%,Bharatiya Janta Party, AC View
3,3,Bharat Bhushan Nagar,"33,495",2.2%,Bahujan Samaj Party, AC View
4,4,Sajjan Kumar,"4,052",0.3%,Independent, AC View
5,5,Amarjeet Kaur,"3,772",0.2%,Independent, AC View
6,6,Anil Bharti,"3,737",0.2%,Rashtravadi Janata Party, AC View
7,7,Swati Bhatnagar,"2,644",0.2%,Rashtriya Sawarn Dal, AC View
8,8,Kewal Kishan Virmani,"2,312",0.1%,Independent, AC View
9,9,Anil Gogia,"1,717",0.1%,Independent, AC View
10,10,Hafiz Ali,"1,644",0.1%,Independent, AC View
11,11,Sushma,"1,459",0.1%,Hind Morcha, AC View
12,12,Mohd. Salim Qureshi,"1,042",0.1%,Republican Party Of India (A), AC View
13,13,Surinder Mohan,966,0.1%,Independent, AC View
14,14,Vijay Kumar,942,0.1%,Jharkhand Party, AC View
15,15,Sunil Anand,867,0.1%,Independent, AC View
16,16,Abdul Majid,833,0.1%,Jai Hind Party, AC View
17,17,Rajesh Sharma,795,0.1%,Independent, AC View
18,18,Mahinder Singh Bhamrah,771,0.0%,Bharatiya Gaon Taj Dal, AC View
19,19,Jalim,679,0.0%,Labour Party (Secular), AC View
20,20,Ram Kumar Dabriwal,609,0.0%,Independent, AC View
21,21,Rajpal Sharma,552,0.0%,Manav Jagriti Manch, AC View
22,22,Ram Awadh,547,0.0%,Rashtriya Swabhimaan Party, AC View
23,23,Raghvinder Bakshi,545,0.0%,Independent, AC View
24,24,Ram Jatan,539,0.0%,Independent, AC View
25,25,Kiran Singh,534,0.0%,Rashtriya Vikas Party, AC View
26,26,Kaisar,513,0.0%,Navbharat Nirman Party, AC View
27,27,Nawab Singh,500,0.0%,Independent, AC View
28,28,Jag Mohan Kalia,487,0.0%,Rashtriya Janadhikar Party, AC View
