x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Jivabhai Ambalal Patel,"339,643",48.8%,Indian National Congress, AC View
2,2,Nitinbhai Ratilal Patel,"325,132",46.8%,Bharatiya Janta Party, AC View
3,3,Thakor Laxmanji Shivaji,"20,410",2.9%,Independent, AC View
4,4,Thakor Mansangji Punjaji,"10,222",1.5%,Bahujan Samaj Party, AC View
