x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,G. Karunakara Reddy,"318,978",33.6%,Bharatiya Janta Party, AC View
2,2,Kondaiah K C,"287,299",30.3%,Indian National Congress, AC View
3,3,Gulagi Nagaraj B,"247,842",26.1%,Janata Dal (Secular), AC View
4,4,Kamala Nabhan B,"36,277",3.8%,Bahujan Samaj Party, AC View
5,5,Somashekara K,"19,642",2.1%,Independent, AC View
6,6,Narayana Moorthy P,"17,571",1.9%,Independent, AC View
7,7,Idli Ramappa,"12,413",1.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
8,8,Ghousia Begum,"10,306",1.1%,Independent, AC View
