x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Y.S. Vivekananda Reddy,"461,431",56.7%,Indian National Congress, AC View
2,2,Venkata Mysura Reddy Mule,"329,757",40.5%,Telugu Desam, AC View
3,3,T Bhaskar Reddy,"10,250",1.3%,Independent, AC View
4,4,Indi Reddy Thimma Reddy,"5,242",0.6%,Rashtriya Janata Dal, AC View
5,5,Vitta Subba Rao,"3,932",0.5%,Independent, AC View
6,6,Kondaboina Sreenivasulu K,"1,759",0.2%,Pyramid Party Of India, AC View
7,7,C.Balavarada Reddy,"1,115",0.1%,Independent, AC View
8,8,B.Narayana Reddy,903,0.1%,Republican Party Of India, AC View
9,9,Putha Ramaprasada Reddy,825,0.1%,Ambedkar National Congress, AC View
10,10,Sivanatha Reddy Chadipiralla,759,0.1%,Ntr Telugu Desam Party (LAKSHMI PARVATHI), AC View
11,11,C.Gopi Narasimha Reddy,746,0.1%,Independent, AC View
12,12,G.Ravindranatha Reddy,731,0.1%,Jharkhand Party, AC View
13,13,O.Subba Reddy,649,0.1%,Akhil Bharatiya Jan Sangh, AC View
14,14,Pechara Venkateshwar Rao,617,0.1%,Telangana Rashtra Samithi, AC View
15,15,N Bhaskara Reddy,485,0.1%,Praja Party, AC View
