x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Wagmare Suresh Ganapat,"269,045",43.0%,Bharatiya Janta Party, AC View
2,2,Prabhatai Rau,"265,857",42.5%,Indian National Congress, AC View
3,3,Somraj Sheshraoji Telkhede (PATIL),"54,009",8.6%,Bahujan Samaj Party, AC View
4,4,Yeshwant Namdeorao Zade,"14,823",2.4%,Communist Party Of India (MARXIST), AC View
5,5,Raut Jagannathrao Nilkanthrao,"9,845",1.6%,Shivrajya Party, AC View
6,6,Ubale Shrikrushna Champatrao,"6,991",1.1%,Ambedkarist Republican Party, AC View
7,7,Chidam Narayanrao Ramji,"5,535",0.9%,Gondvana Gantantra Party, AC View
