x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Mohd. Muqueem,"202,544",31.5%,Bahujan Samaj Party, AC View
2,2,Jagdambika Pal,"149,642",23.3%,Indian National Congress, AC View
3,3,Brij Bhushan Tiwari,"133,439",20.7%,Samajwadi Party, AC View
4,4,Ram Pal Singh,"115,104",17.9%,Bharatiya Janta Party, AC View
5,5,Mohd. Sameem,"13,345",2.1%,Independent, AC View
6,6,Vasudev Nishad,"5,980",0.9%,Bharatiya Eklavya Party, AC View
7,7,Ram Samujh,"4,680",0.7%,Independent, AC View
8,8,Ram Kripal Maurya,"4,613",0.7%,Independent, AC View
9,9,Molvi Mahphoojurrahman Falahi,"4,415",0.7%,Rashtriya Janata Dal, AC View
10,10,Bhoop Naryan Urf Shambhoosingh,"3,560",0.6%,Independent, AC View
11,11,Ram Briksh Singh Lodhi,"3,531",0.5%,Apna Dal, AC View
12,12,Anil Kumar,"2,276",0.4%,Independent, AC View
