x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,"Regupathy, S.","466,133",57.1%,Dravida Munetra Kazhagam, AC View
2,2,Ravichandran. A,"309,637",37.9%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Nagooran. A,"10,024",1.2%,Bahujan Samaj Party, AC View
4,4,"Rajendran, Lion, M S","9,723",1.2%,Independent, AC View
5,5,Srinivasan. G,"7,545",0.9%,Jharkhand Party, AC View
6,6,Machakkalai @ Ingarsal. A,"4,725",0.6%,Independent, AC View
7,7,Periyasamy. R,"3,346",0.4%,Independent, AC View
8,8,Jahir Hussain. J,"2,923",0.4%,Janata Dal (United), AC View
9,9,Packianathan. D,"1,675",0.2%,Independent, AC View
10,10,Selvarajan. S,"1,179",0.1%,Independent, AC View
11,11,Asaithambi. R,"1,173",0.1%,Independent, AC View
12,12,Selvam. S,"1,150",0.1%,Independent, AC View
13,13,Subramanian. K,"1,038",0.1%,Independent, AC View
