x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Daggubati Purandareswari,"411,099",56.0%,Indian National Congress, AC View
2,2,Daggubati Ramanaidu,"317,017",43.2%,Telugu Desam, AC View
3,3,Chellamalla Venkata Reddy,"3,753",0.5%,Telangana Rashtra Samithi, AC View
4,4,Prathipati Shrinivasu,"2,159",0.3%,Independent, AC View
5,5,Inaganti Apparao,"1,434",0.2%,Independent, AC View
