x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Santasri Chatterjee,"404,082",42.9%,Communist Party Of India (MARXIST), AC View
2,2,Akbar Ali Khandoker,"384,395",40.8%,All India Trinamool Congress, AC View
3,3,Kesto Mukherjee,"125,020",13.3%,Indian National Congress, AC View
4,4,Sukumar Malik,"9,808",1.0%,Independent, AC View
5,5,Sabitri Das,"6,372",0.7%,Bahujan Samaj Party, AC View
6,6,Dilip Bhattacharya,"5,400",0.6%,Independent, AC View
7,7,Avash Munshi,"3,664",0.4%,Independent, AC View
8,8,Bidyut Raut,"3,021",0.3%,Independent, AC View
9,9,Indradeo Ray,"2,845",0.3%,Samajwadi Party, AC View
10,10,Suresh Nayak,"1,641",0.2%,Janata Dal (Secular), AC View
