x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,K. Suresh Kurup,"341,213",48.5%,Communist Party Of India (MARXIST), AC View
2,2,Anto Antony Punnathaniyil,"298,299",42.4%,Indian National Congress, AC View
3,3,B Radhakrishna Menon,"53,034",7.5%,Bharatiya Janta Party, AC View
4,4,Advocate Jacob John,"5,233",0.7%,Bahujan Samaj Party, AC View
5,5,Mini K Philip,"2,897",0.4%,Independent, AC View
6,6,Jose Ambattu,"2,484",0.4%,Janata Dal (United), AC View
7,7,M K Dasan,"1,352",0.2%,Independent, AC View
8,8,Kunju Pazhanthattil,"1,264",0.2%,Independent, AC View
