x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Mekapati Rajamohan Reddy,"481,310",53.6%,Indian National Congress, AC View
2,2,Maddi Lakshmaiah,"395,055",44.0%,Telugu Desam, AC View
3,3,Pulimamidi Narsimha Reddy,"9,622",1.1%,Telangana Rashtra Samithi, AC View
4,4,Gontu Venkateswara Reddy,"8,278",0.9%,Independent, AC View
5,5,Pulimi Venkatarami Reddy,"5,519",0.6%,Independent, AC View
