x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,"Baalu, T. R.","564,578",60.4%,Dravida Munetra Kazhagam, AC View
2,2,Bader Sayeed ( TMT),"343,838",36.8%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Vasudevan,"4,006",0.4%,Bahujan Samaj Party, AC View
4,4,Babu. T,"2,371",0.3%,Independent, AC View
5,5,Thiyagarajan. P,"2,203",0.2%,Independent, AC View
6,6,"Navamani, T","2,194",0.2%,Jharkhand Party, AC View
7,7,Devadoss Kuppal G,"1,782",0.2%,Independent, AC View
8,8,Rajendran. A,"1,233",0.1%,Independent, AC View
9,9,Salvam. S,771,0.1%,Independent, AC View
10,10,"Mohan Raj, J",734,0.1%,Jebamani Janata, AC View
11,11,Rajan. P,635,0.1%,Independent, AC View
12,12,"Vivekananda, S",612,0.1%,Independent, AC View
13,13,"Suryanarayanan, R",583,0.1%,Independent, AC View
14,14,Mazhai Meni Pandiyan. S,570,0.1%,Independent, AC View
15,15,Anand. S,565,0.1%,Independent, AC View
16,16,Baskaran. S,555,0.1%,Independent, AC View
17,17,Purushothaman. S,553,0.1%,Independent, AC View
18,18,Rajalaxmi. ( TMT) P,484,0.1%,Independent, AC View
19,19,Jayaraj. S,445,0.0%,Independent, AC View
20,20,"Pugazhenthi, G.",440,0.0%,Independent, AC View
21,21,"Srinivasan, V R. Alias Love Srini",431,0.0%,Independent, AC View
22,22,"Prakash, P",419,0.0%,Independent, AC View
23,23,Gopi. M,417,0.0%,Independent, AC View
24,24,Mohd Farook,397,0.0%,Independent, AC View
25,25,Janakiraman. A,395,0.0%,Independent, AC View
26,26,Shanmugam. G,388,0.0%,Independent, AC View
27,27,"Shanmugam, P T (ALIAS) SHANMUGA SUNDARAM, P T",374,0.0%,Independent, AC View
28,28,Kumar. D S,370,0.0%,Independent, AC View
29,29,Prasad. V B D,362,0.0%,Independent, AC View
30,30,Murugan. V G,354,0.0%,Independent, AC View
31,31,Bommi. ( TMT) R,337,0.0%,Independent, AC View
32,32,Sivakumar. Pon,307,0.0%,Independent, AC View
33,33,"Chinnatambi, K",298,0.0%,Independent, AC View
34,34,"Murugan, D",295,0.0%,Independent, AC View
35,35,Rajadurai. M,252,0.0%,Independent, AC View
