x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Rasa Singh Rawat,"314,788",59.5%,Bharatiya Janta Party, AC View
2,2,Haji Habiburrehaman,"186,812",35.3%,Indian National Congress, AC View
3,3,Paras Chatar Jain,"11,224",2.1%,Bahujan Samaj Party, AC View
4,4,Rekhraj Fouji,"6,325",1.2%,Independent, AC View
5,5,K. P. Singh,"5,431",1.0%,Samajwadi Party, AC View
6,6,Ram Pal Koli,"2,610",0.5%,Independent, AC View
7,7,Swami Krishnanand Maharaj,"2,359",0.4%,Independent, AC View
