x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Mohd. Tahir,"261,564",36.3%,Bahujan Samaj Party, AC View
2,2,Shailendra Pratap Singh,"159,754",22.2%,Samajwadi Party, AC View
3,3,Satish Sharma,"154,245",21.4%,Indian National Congress, AC View
4,4,Veena Pandey,"91,328",12.7%,Bharatiya Janta Party, AC View
5,5,Sarvendra Veer Vikram,"14,628",2.0%,Independent, AC View
6,6,Algu Ram Varma,"12,207",1.7%,Apna Dal, AC View
7,7,Ram Kumar Pandey,"5,252",0.7%,Independent, AC View
8,8,Ram Nath,"5,126",0.7%,Independent, AC View
9,9,Mohd Arsad Pavar,"4,098",0.6%,National Loktantrik Party, AC View
10,10,Shyam Narayan,"3,925",0.5%,Independent, AC View
11,11,Murli,"2,554",0.4%,Independent, AC View
12,12,Raqm Piyare Pasi,"1,882",0.3%,Bharat Kranti Rakshak Party, AC View
13,13,Dharmendra Kumar,"1,621",0.2%,Independent, AC View
14,14,Kamata Prashad,"1,448",0.2%,Independent, AC View
15,15,Arvind Tiwari,"1,417",0.2%,Independent, AC View
