x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Vaghela Shankersinh Laxmansinh,"320,338",53.8%,Indian National Congress, AC View
2,2,Vaghela Liladharbhai Khodaji,"240,903",40.5%,Bharatiya Janta Party, AC View
3,3,Jadav Rashmikaben Chandrakant,"20,018",3.4%,Independent, AC View
4,4,Vyas Bhupendra Manubhai,"14,055",2.4%,Independent, AC View
