x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Susmita Bauri,"518,507",64.5%,Communist Party Of India (MARXIST), AC View
2,2,Janardan Saha,"186,678",23.2%,All India Trinamool Congress, AC View
3,3,Achintya Majhi,"61,793",7.7%,Indian National Congress, AC View
4,4,Sraban Mondal,"29,009",3.6%,Independent, AC View
5,5,Ajoy Bauri,"10,637",1.3%,Bahujan Samaj Party, AC View
