x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dhani Ram Shandil,"311,182",59.2%,Indian National Congress, AC View
2,2,Hira Nand Kashyap,"203,002",38.6%,Bharatiya Janta Party, AC View
3,3,Som Nath,"14,471",2.8%,Bahujan Samaj Party, AC View
