x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sugrib Singh,"337,951",42.9%,Biju Janata Dal, AC View
2,2,Abhimanyu Behera,"318,679",40.5%,Indian National Congress, AC View
3,3,Nakul Nayak,"60,626",7.7%,Independent, AC View
4,4,Ramachandra Naik,"20,787",2.6%,Independent, AC View
5,5,Bidyadhar Urma,"17,187",2.2%,Bahujan Samaj Party, AC View
6,6,Bishnu Charan Behera,"16,862",2.1%,Independent, AC View
7,7,Karunakar  Haripala,"15,201",1.9%,Republican Party Of India, AC View
