x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,K. Virupaxappa,"356,158",39.9%,Indian National Congress, AC View
2,2,Nagappa Bheemappa Saloni,"312,535",35.0%,Bharatiya Janta Party, AC View
3,3,Agadi Virupaxappa Sanganna,"158,552",17.8%,Janata Dal (Secular), AC View
4,4,Abeed Hussain,"24,669",2.8%,Kannada Nadu Party, AC View
5,5,Pujar D H,"23,651",2.6%,Independent, AC View
6,6,Girija Shankara Patil,"18,517",2.1%,Jharkhand Party, AC View
