x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Hari Har Swain,"381,526",55.9%,Biju Janata Dal, AC View
2,2,Ramkrushana Patnaik,"248,924",36.5%,Indian National Congress, AC View
3,3,Bijaya Kumar Mohapatro,"19,250",2.8%,Revolutionary Socialist Party, AC View
4,4,Dutikrishna Padhi,"16,396",2.4%,Independent, AC View
5,5,K. Shyambabu Subudhi,"14,285",2.1%,Independent, AC View
