x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Subhash Meharia,"367,546",47.2%,Bharatiya Janta Party, AC View
2,2,Narayan Singh,"312,863",40.2%,Indian National Congress, AC View
3,3,Amraram,"66,241",8.5%,Communist Party Of India (MARXIST), AC View
4,4,Ramesh Chandra Sharma Advocate,"9,774",1.3%,Independent, AC View
5,5,Bhagirath Singh Kharrate Mahan,"9,530",1.2%,Akhil Bharat Hindu Mahasabha, AC View
6,6,Gulam Nabi,"8,072",1.0%,Bahujan Samaj Party, AC View
7,7,Ajay Pal,"5,445",0.7%,Independent, AC View
