x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,K. Chandra Shakher Rao,"451,199",51.6%,Telangana Rashtra Samithi, AC View
2,2,Chennamaneni Vidyasagar Rao,"320,031",36.6%,Bharatiya Janta Party, AC View
3,3,Mamidipalli Gangarajam,"59,686",6.8%,Independent, AC View
4,4,Kothapalli Sandri Menayya,"43,582",5.0%,Bahujan Samaj Party, AC View
