x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Solanki Bhupendrasinh Prabhatsinh,"295,550",55.0%,Bharatiya Janta Party, AC View
2,2,Patel Rajendrasinh Balvantsinh,"241,831",45.0%,Indian National Congress, AC View
