x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Delkar Mohanbhai Sanjibhai,"34,665",40.9%,Bharatiya Navshakti Party, AC View
2,2,Gavli Sitaram,"21,772",25.7%,Indian National Congress, AC View
3,3,Patel Anilbhai,"13,178",15.6%,Bharatiya Janta Party, AC View
4,4,Patel Uttambhai,"5,823",6.9%,Shiv Sena, AC View
5,5,Patel Dhirubhai Sukarbhai,"3,652",4.3%,Independent, AC View
6,6,Harishchandra Khulat,"1,576",1.9%,Nationalist Congress Party, AC View
7,7,Aminbhai Patel,"1,213",1.4%,Independent, AC View
8,8,Gimbhal Ladak,"1,158",1.4%,Communist Party Of India (MARXIST), AC View
9,9,Sumitra Ramji Patel,941,1.1%,Samajwadi Party, AC View
10,10,Patel Ganesh,725,0.9%,Bahujan Samaj Party, AC View
