x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,T. K. Hamza,"426,920",47.2%,Communist Party Of India (MARXIST), AC View
2,2,K P A Majeed,"379,177",41.9%,Muslim League Kerala State Committee, AC View
3,3,Uma Unni,"84,149",9.3%,Bharatiya Janta Party, AC View
4,4,Anwar Shakeel Omar,"9,213",1.0%,Independent, AC View
5,5,Abdul Muneer C,"7,824",0.9%,Bahujan Samaj Party, AC View
