x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,P. Satheedevi,"429,294",52.0%,Communist Party Of India (MARXIST), AC View
2,2,M T Padma,"298,705",36.2%,Indian National Congress, AC View
3,3,K P Sreesan,"81,901",9.9%,Bharatiya Janta Party, AC View
4,4,K T Kunhikannan,"7,482",0.9%,Independent, AC View
5,5,Dr K N Ajoykumar,"7,306",0.9%,Independent, AC View
6,6,Kalandan Haje T K,"3,845",0.5%,Independent, AC View
