x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Iliyas Azmi,"210,171",36.3%,Bahujan Samaj Party, AC View
2,2,Satya Dev Singh,"163,802",28.3%,Bharatiya Janta Party, AC View
3,3,Babu Khan,"156,574",27.0%,Samajwadi Party, AC View
4,4,Mradul Shukla,"17,041",2.9%,Indian National Congress, AC View
5,5,Hari Ram,"8,933",1.5%,Independent, AC View
6,6,Gopi Chandra,"4,570",0.8%,Apna Dal, AC View
7,7,Gopal,"3,674",0.6%,Akhil Bharat Hindu Mahasabha, AC View
8,8,S R Darapuri,"2,843",0.5%,Republican Party Of India, AC View
9,9,Manju,"2,745",0.5%,Independent, AC View
10,10,Rahat Aziz,"2,354",0.4%,Independent, AC View
11,11,Hira Lal Verma,"2,088",0.4%,Rashtriya Swabhimaan Party, AC View
12,12,Ram Dayal,"1,613",0.3%,Independent, AC View
13,13,Indra Bhushan,"1,232",0.2%,Independent, AC View
14,14,Manohar Lal,996,0.2%,Indian Justice Party, AC View
15,15,Ganga Sagar,993,0.2%,Independent, AC View
